CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
101000818793,04/08/2013 01:49:00 PM,04/09/2013 11:04:00 AM,Closed,Case Closed Case Resolved MADE SAFE ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 07: South Dorchester,PWDx,INTERSECTION of Everdean St & Victory Rd  Dorchester  MA  ,8,7,3,C11,Dorchester,7,Ward 16,1602,,INTERSECTION Everdean St & Victory Rd,,42.35914,-71.12956,City Worker App,"(42.35914, -71.12956)"
101000817606,04/05/2013 01:39:00 PM,04/09/2013 11:01:00 AM,Closed,Case Closed Case Resolved MADE SAFE ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 07: South Dorchester,PWDx,INTERSECTION of Everdean St & Victory Rd  Dorchester  MA  ,8,7,3,C11,Dorchester,7,Ward 16,1602,,INTERSECTION Everdean St & Victory Rd,,42.35914,-71.12956,City Worker App,"(42.35914, -71.12956)"
101000805380,03/16/2013 12:47:00 PM,03/21/2013 10:27:00 AM,Closed,Case Closed Case Resolved COMPLETED 3/21/13 ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,130 Myrtle St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,A,130 Myrtle St,02114,42.35915,-71.06936,Citizens Connect App,"(42.35915, -71.06936)"
101000823014,04/16/2013 12:55:00 PM,04/18/2013 02:42:00 PM,Closed,Case Closed Case Resolved this has been filled ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,20 Joy St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,503,CM,20 Joy St,02114,42.359183,-71.06519,Citizens Connect App,"(42.359183, -71.06519)"
101000803809,03/14/2013 09:34:00 AM,03/14/2013 09:34:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803811,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803812,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803813,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803814,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803815,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
